,Unnamed: 0,Name,Country,Position,Age,Overall_Rating,Potential,Duration,Team,Value_euros,Wage € K,Total_Stats,photo_link,country_flag_img_link
6026,6117,Aliou Badji,Senegal,ST,24,69,74,"Jun 30, 2023",Bordeaux,2100000.0,4.0,1679,https://cdn.sofifa.net/players/237/563/23_180.png, https://cdn.sofifa.net/flags/sn@3x.png
6283,6379,Thibang Phete,South Africa,CM,27,69,69,2020 ~ 2022,Belenenses,1300000.0,4.0,1599,https://cdn.sofifa.net/players/231/688/22_180.png, https://cdn.sofifa.net/flags/za@3x.png
6519,6620,Mateo Cassierra,Colombia,ST,23,72,79,2019 ~ 2022,Belenenses,4700000.0,6.0,1714,https://cdn.sofifa.net/players/227/557/22_180.png, https://cdn.sofifa.net/flags/co@3x.png
7255,7377,Garry Mendes Rodrigues,Cape Verde Islands,RW,30,75,75,2021 ~ 2024,Olympiakos Piraeus,5500000.0,1.0,1955,https://cdn.sofifa.net/players/210/212/22_180.png, https://cdn.sofifa.net/flags/cv@3x.png
7780,7912,Kostas Manolas,Greece,CB,30,82,82,2022 ~ 2025,Olympiakos Piraeus,25000000.0,2.0,1637,https://cdn.sofifa.net/players/192/774/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
7929,8062,Romain Alessandrini,France,LM,33,74,74,2022 ~ 2023,Shenzhen,2700000.0,13.0,1989,https://cdn.sofifa.net/players/184/575/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
7935,8068,Muriel Gustavo Becker,Brazil,GK,30,73,73,2017 ~ 2019,Belenenses,2600000.0,7.0,1054,https://cdn.sofifa.net/players/184/885/18_180.png, https://cdn.sofifa.net/flags/br@3x.png
8068,8204,Mathieu Valbuena,France,CAM,36,75,75,2019 ~ 2023,Olympiakos Piraeus,1800000.0,1.0,1870,https://cdn.sofifa.net/players/177/326/22_180.png, https://cdn.sofifa.net/flags/fr@3x.png
8125,8263,Silvestre Gonçalves Varela,Portugal,RW,35,73,73,2019 ~ 2021,Belenenses,1200000.0,6.0,1892,https://cdn.sofifa.net/players/172/672/21_180.png, https://cdn.sofifa.net/flags/pt@3x.png
8128,8266,Sokratis Papastathopoulos,Greece,CB,33,77,77,2021 ~ 2023,Olympiakos Piraeus,5000000.0,1.0,1750,https://cdn.sofifa.net/players/172/879/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
8262,8405,Eric Abidal,France,LB,34,75,75,2014 ~ 2015,Olympiakos Piraeus,1000000.0,45.0,1696,https://cdn.sofifa.net/players/141/645/15_180.png, https://cdn.sofifa.net/flags/fr@3x.png
8322,8467,Jaroslav Plašil,Czech Republic,CDM,36,71,71,2009 ~ 2019,Bordeaux,750000.0,20.0,1792,https://cdn.sofifa.net/players/112/244/19_180.png, https://cdn.sofifa.net/flags/cz@3x.png
8323,8468,Jérémy Toulalan,France,CB,33,78,78,2016 ~ 2018,Bordeaux,4200000.0,40.0,1829,https://cdn.sofifa.net/players/112/253/18_180.png, https://cdn.sofifa.net/flags/fr@3x.png
8381,8526,Carlos Jorge Neto Martins,Portugal,CM,33,76,76,2015 ~ 2017,Belenenses,2700000.0,10.0,2018,https://cdn.sofifa.net/players/020/798/17_180.png, https://cdn.sofifa.net/flags/pt@3x.png
9410,9569,Wentao Lu,China PR,CB,20,51,64,2022 ~ 2027,Shenzhen,130000.0,1.0,1176,https://cdn.sofifa.net/players/272/623/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
9568,9729,Julien Vetro,France,ST,18,56,68,2022 ~ 2025,Bordeaux,325000.0,650.0,1401,https://cdn.sofifa.net/players/271/759/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
9650,9811,Zuriko Davitashvili,Georgia,RW,21,67,77,2022 ~ 2024,Bordeaux,2300000.0,3.0,1564,https://cdn.sofifa.net/players/271/688/23_180.png, https://cdn.sofifa.net/flags/ge@3x.png
10025,10192,Tijany Atallah,Algeria,RB,19,57,72,2022 ~ 2025,Bordeaux,375000.0,700.0,1320,https://cdn.sofifa.net/players/271/136/23_180.png, https://cdn.sofifa.net/flags/dz@3x.png
10026,10193,Lenny Pirringuel,France,CM,18,57,71,2021 ~ 2023,Bordeaux,375000.0,500.0,1495,https://cdn.sofifa.net/players/271/138/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
10027,10194,Lucas Rocrou,France,ST,19,56,67,2023 ~ 2024,Bordeaux,300000.0,950.0,1414,https://cdn.sofifa.net/players/271/140/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
10088,10256,Jacques Ekomié,Gabon,CB,18,64,75,2022 ~ 2025,Bordeaux,1200000.0,550.0,1529,https://cdn.sofifa.net/players/271/061/23_180.png, https://cdn.sofifa.net/flags/ga@3x.png
10905,11083,Hao Fu,China PR,CDM,21,48,58,2022 ~ 2026,Shenzhen,100000.0,1.0,1309,https://cdn.sofifa.net/players/269/125/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10906,11084,Xingyu Wu,China PR,CM,22,47,52,2022 ~ 2022,Shenzhen,70000.0,1.0,1340,https://cdn.sofifa.net/players/269/126/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10907,11085,Jiabao Ji,China PR,GK,19,50,63,2022 ~ 2024,Shenzhen,100000.0,500.0,779,https://cdn.sofifa.net/players/269/127/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10908,11086,Yuezheng Du,China PR,ST,16,50,64,2022 ~ 2026,Shenzhen,110000.0,500.0,1250,https://cdn.sofifa.net/players/269/128/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10909,11087,Junye Zhang,China PR,LM,20,47,54,2022 ~ 2024,Shenzhen,90000.0,1.0,1212,https://cdn.sofifa.net/players/269/129/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10910,11088,Jiajin Hu,China PR,CM,17,46,60,2023 ~ 2027,Shenzhen,110000.0,500.0,1302,https://cdn.sofifa.net/players/269/130/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
10927,11106,Junior Mwanga,France,CB,19,69,80,2022 ~ 2027,Bordeaux,2800000.0,2.0,1640,https://cdn.sofifa.net/players/269/184/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
11023,11202,Lei Liao,China PR,LB,23,49,55,2022 ~ 2023,Shenzhen,70000.0,1.0,1250,https://cdn.sofifa.net/players/269/124/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
11264,11456,Enrique Achahuanco,Peru,RB,18,58,69,2022 ~ 2024,Ayacucho,400000.0,500.0,1503,https://cdn.sofifa.net/players/268/551/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
11398,11593,Aldair Ccorahua,Peru,GK,21,59,67,2022 ~ 2023,Ayacucho,450000.0,500.0,972,https://cdn.sofifa.net/players/268/006/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
11868,12069,Mamadou Kané,Guinea,CM,24,70,75,2021 ~ 2025,Olympiakos Piraeus,2200000.0,600.0,1822,https://cdn.sofifa.net/players/266/836/22_180.png, https://cdn.sofifa.net/flags/gn@3x.png
11911,12114,Braima Embaló Sambú,Portugal,CM,20,63,73,2020 ~ 2024,Belenenses,1000000.0,1.0,1708,https://cdn.sofifa.net/players/266/696/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
12234,12443,Fotis Kitsos,Greece,LB,18,63,74,2019 ~ 2025,Olympiakos Piraeus,1000000.0,500.0,1668,https://cdn.sofifa.net/players/266/016/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
12262,12471,Giorgos Marinos,Greece,RM,21,62,74,2018 ~ 2025,Olympiakos Piraeus,975000.0,500.0,1633,https://cdn.sofifa.net/players/266/062/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
12307,12517,Juan Morales,Peru,CM,33,66,66,2022 ~ 2022,Ayacucho,425000.0,500.0,1763,https://cdn.sofifa.net/players/265/785/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
12310,12520,Aryan Romaní,Peru,RM,20,63,71,2022 ~ 2022,Ayacucho,1100000.0,500.0,1651,https://cdn.sofifa.net/players/265/791/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
12311,12521,Santiago Rebagliati,Peru,ST,25,62,65,2022 ~ 2022,Ayacucho,525000.0,500.0,1603,https://cdn.sofifa.net/players/265/794/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
12324,12534,Eric Barrios,Argentina,CDM,24,65,70,2022 ~ 2022,Ayacucho,1100000.0,500.0,1781,https://cdn.sofifa.net/players/265/823/23_180.png, https://cdn.sofifa.net/flags/ar@3x.png
12569,12780,José Ataupillco,Peru,LB,21,62,68,2021 ~ 2022,Ayacucho,600000.0,500.0,1608,https://cdn.sofifa.net/players/265/415/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
12798,13012,Pavlos Mavroudis,Greece,CM,20,55,69,2020 ~ 2025,Olympiakos Piraeus,300000.0,500.0,1494,https://cdn.sofifa.net/players/264/495/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
12997,13215,Xiangyu Chen,China PR,ST,20,50,60,2021 ~ 2024,Shenzhen,100000.0,1.0,1181,https://cdn.sofifa.net/players/264/055/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
13064,13282,Luís Fellipe Rodrigues Mota,Portugal,ST,17,61,71,2020 ~ 2023,Belenenses,675000.0,500.0,1448,https://cdn.sofifa.net/players/263/973/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
13326,13547,Rafael Vicente Ferreira Santos,Portugal,CAM,24,63,68,2021 ~ 2024,Belenenses,725000.0,1.0,1674,https://cdn.sofifa.net/players/263/643/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
13328,13549,Jorge Miguel Lopes Xavier,Portugal,RB,20,62,68,2021 ~ 2026,Belenenses,575000.0,950.0,1473,https://cdn.sofifa.net/players/263/645/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
13485,13708,Alioune Ndour,Senegal,ST,20,66,75,2020 ~ 2025,Belenenses,1900000.0,2.0,1549,https://cdn.sofifa.net/players/263/366/22_180.png, https://cdn.sofifa.net/flags/sn@3x.png
13865,14089,Anastasios Sapountzis,Greece,CDM,19,59,74,2021 ~ 2023,Olympiakos Piraeus,525000.0,500.0,1633,https://cdn.sofifa.net/players/262/843/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
13866,14090,Algassime Bah,Guinea,LW,18,61,77,2021 ~ 2025,Olympiakos Piraeus,825000.0,500.0,1569,https://cdn.sofifa.net/players/262/844/22_180.png, https://cdn.sofifa.net/flags/gn@3x.png
13892,14118,Malcom Bokele,Cameroon,CB,22,64,73,2021 ~ 2027,Bordeaux,1300000.0,2.0,1479,https://cdn.sofifa.net/players/262/709/23_180.png, https://cdn.sofifa.net/flags/cm@3x.png
14256,14491,Edgar Patrício Franco Pacheco,Portugal,CF,20,60,68,2019 ~ 2024,Belenenses,550000.0,1.0,1433,https://cdn.sofifa.net/players/262/086/21_180.png, https://cdn.sofifa.net/flags/pt@3x.png
14269,14505,Alexios Kalogeropoulos,Greece,CB,16,62,78,2020 ~ 2023,Olympiakos Piraeus,925000.0,500.0,1498,https://cdn.sofifa.net/players/262/109/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
14394,14631,Minzhe Wei,China PR,GK,23,54,60,2022 ~ 2026,Shenzhen,140000.0,1.0,882,https://cdn.sofifa.net/players/261/931/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
14395,14632,Guoliang Chen,China PR,CB,22,49,54,2021 ~ 2022,Shenzhen,70000.0,1.0,1183,https://cdn.sofifa.net/players/261/932/22_180.png, https://cdn.sofifa.net/flags/cn@3x.png
14445,14682,César Fernando Simões Sousa,Angola,CM,21,60,70,2018 ~ 2023,Belenenses,550000.0,950.0,1550,https://cdn.sofifa.net/players/261/777/22_180.png, https://cdn.sofifa.net/flags/ao@3x.png
14651,14892,Gustavo Elvis Loayza,Peru,CDM,20,62,70,2021 ~ 2023,Ayacucho,875000.0,500.0,1666,https://cdn.sofifa.net/players/261/367/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
14660,14901,Carlos Daniel Meza,Peru,RW,20,64,74,2020 ~ 2023,Ayacucho,1200000.0,500.0,1726,https://cdn.sofifa.net/players/261/379/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
14769,15011,Sergio Barboza,Peru,LM,21,62,70,2021 ~ 2022,Ayacucho,900000.0,500.0,1620,https://cdn.sofifa.net/players/261/366/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
14983,15226,Anastasios Tselios,Greece,RM,18,60,76,2019 ~ 2024,Olympiakos Piraeus,625000.0,500.0,1563,https://cdn.sofifa.net/players/260/934/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
15443,15690,Italo Regalado,Peru,RM,27,63,63,2020 ~ 2022,Ayacucho,500000.0,500.0,1683,https://cdn.sofifa.net/players/260/200/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
15643,15893,Jesús Mendieta,Peru,CB,24,65,69,2020 ~ 2022,Ayacucho,950000.0,500.0,1513,https://cdn.sofifa.net/players/259/939/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
15645,15895,Robert Ardiles,Peru,CM,34,67,67,2018 ~ 2022,Ayacucho,475000.0,500.0,1652,https://cdn.sofifa.net/players/259/942/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
15646,15896,Andy Vidal,Peru,GK,27,68,70,2018 ~ 2022,Ayacucho,1100000.0,500.0,936,https://cdn.sofifa.net/players/259/944/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
15996,16254,Darren Lima Semedo,France,GK,18,58,75,2019 ~ 2022,Bordeaux,450000.0,500.0,919,https://cdn.sofifa.net/players/259/374/22_180.png, https://cdn.sofifa.net/flags/fr@3x.png
16143,16403,Abdel Medioub,Algeria,CB,24,67,73,2020 ~ 2025,Bordeaux,1500000.0,2.0,1433,https://cdn.sofifa.net/players/259/088/23_180.png, https://cdn.sofifa.net/flags/dz@3x.png
16272,16537,Samir Banjai,Portugal,CB,21,63,70,2020 ~ 2021,Belenenses,900000.0,1.0,1396,https://cdn.sofifa.net/players/258/916/21_180.png, https://cdn.sofifa.net/flags/pt@3x.png
16273,16538,Francisco José Coelho Teixeira,Portugal,RM,23,63,70,2018 ~ 2025,Belenenses,975000.0,1.0,1611,https://cdn.sofifa.net/players/258/917/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
16348,16613,Apostolos Apostolopoulos,Greece,LB,18,62,79,2020 ~ 2023,Olympiakos Piraeus,975000.0,500.0,1567,https://cdn.sofifa.net/players/258/841/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
17075,17357,Rafał Strączek,Poland,GK,23,68,76,2022 ~ 2026,Bordeaux,2300000.0,2.0,977,https://cdn.sofifa.net/players/257/669/23_180.png, https://cdn.sofifa.net/flags/pl@3x.png
17087,17369,Yue Xu,China PR,CM,22,52,60,2022 ~ 2023,Shenzhen,180000.0,2.0,1457,https://cdn.sofifa.net/players/257/683/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
17215,17498,Haofeng Xu,China PR,CB,23,54,59,2020 ~ 2023,Shenzhen,150000.0,1.0,1285,https://cdn.sofifa.net/players/257/493/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
18332,18639,Jair Toledo,Peru,RB,26,65,68,2022 ~ 2022,Ayacucho,850000.0,500.0,1490,https://cdn.sofifa.net/players/255/645/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
18532,18843,Will Donkin,Chinese Taipei,LW,21,55,67,2022 ~ 2026,Shenzhen,300000.0,1.0,1464,https://cdn.sofifa.net/players/255/417/23_180.png, https://cdn.sofifa.net/flags/tw@3x.png
18565,18876,Nemanja Nikolić,Bosnia and Herzegovina,RM,20,61,75,2019 ~ 2023,Olympiakos Piraeus,750000.0,500.0,1530,https://cdn.sofifa.net/players/255/287/22_180.png, https://cdn.sofifa.net/flags/ba@3x.png
18568,18879,João Manuel Silva Monteiro,Portugal,GK,20,60,71,2019 ~ 2023,Belenenses,475000.0,600.0,879,https://cdn.sofifa.net/players/255/290/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
18574,18885,Giorgos Xenitidis,Greece,CAM,21,60,71,2021 ~ 2022,Olympiakos Piraeus,550000.0,500.0,1681,https://cdn.sofifa.net/players/255/300/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
18575,18886,Ilias Karargyris,Greece,GK,19,60,76,2019 ~ 2022,Olympiakos Piraeus,575000.0,500.0,933,https://cdn.sofifa.net/players/255/301/22_180.png, https://cdn.sofifa.net/flags/gr@3x.png
18666,18978,Sebastian Gonzáles,Peru,ST,22,63,67,2022 ~ 2022,Ayacucho,700000.0,500.0,1493,https://cdn.sofifa.net/players/255/090/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
18675,18987,Edi Maurício Sanches Semedo,Portugal,ST,21,64,74,2019 ~ 2023,Belenenses,1300000.0,2.0,1462,https://cdn.sofifa.net/players/255/102/21_180.png, https://cdn.sofifa.net/flags/pt@3x.png
18683,18995,Tomás Pais Sarmento Castro,Portugal,CM,22,62,71,2017 ~ 2022,Belenenses,900000.0,1.0,1596,https://cdn.sofifa.net/players/255/114/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
19202,19524,Nilton Varela Lopes,Portugal,LWB,20,68,77,2019 ~ 2022,Belenenses,2500000.0,2.0,1803,https://cdn.sofifa.net/players/254/258/22_180.png, https://cdn.sofifa.net/flags/pt@3x.png
19368,19701,Ruifeng Huang,China PR,CM,22,57,64,2020 ~ 2023,Shenzhen,325000.0,2.0,1497,https://cdn.sofifa.net/players/253/966/23_180.png, https://cdn.sofifa.net/flags/cn@3x.png
19507,19842,Enmanuel Páucar,Peru,CDM,25,65,68,2020 ~ 2022,Ayacucho,850000.0,500.0,1805,https://cdn.sofifa.net/players/253/811/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
19520,19855,José Parodi,Peru,CDM,24,63,68,2021 ~ 2022,Ayacucho,725000.0,500.0,1785,https://cdn.sofifa.net/players/253/826/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
19583,19918,Zixiang Wang,China PR,GK,23,51,59,2021 ~ 2025,Shenzhen,110000.0,1.0,859,https://cdn.sofifa.net/players/253/745/22_180.png, https://cdn.sofifa.net/flags/cn@3x.png
19596,19932,Francisco Duclós,Peru,CB,26,64,67,2022 ~ 2022,Ayacucho,675000.0,500.0,1386,https://cdn.sofifa.net/players/253/585/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
19637,19973,José Guidino,Peru,CB,26,65,68,2022 ~ 2022,Ayacucho,850000.0,500.0,1571,https://cdn.sofifa.net/players/253/642/23_180.png, https://cdn.sofifa.net/flags/pe@3x.png
